B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GNDVI,NDVI,PSRI,SAVI,Top,Landcover
0.1139,9.0E-4,0.1276,0.04715,0.0833,0.0683,0.04065,0.0652,0.1768,0.238,0.226,0.27105,0.04405,0.6470456386443494,0.59746575,0.7391723,-0.102010705,0.4257730795397755,1.8682283,Forest
0.1003,8.0E-4,0.1174,0.0401,0.0736,0.0615,0.0339,0.0614,0.18885,0.2579,0.23845,0.2947,0.0429,0.6891449122237763,0.65468836,0.7936701,-0.09365457,0.4721216465272449,1.908943,Forest
0.1089,9.0E-4,0.15,0.0535,0.07805,0.0677,0.03515,0.06985,0.23885,0.3295,0.31625,0.3746,0.04815,0.84851894745003,0.6938729,0.82843196,-0.08689269,0.559686722472328,2.2156575,Forest
0.1002,8.0E-4,0.1264,0.0459,0.071,0.0597,0.0332,0.0612,0.1813,0.2447,0.2256,0.2793,0.0416,0.6503700026514537,0.64778763,0.78752,-0.09488006,0.4543384682474757,2.1172528,Forest
0.10775,9.0E-4,0.1351,0.0491,0.07705,0.0671,0.0368,0.0676,0.20965,0.2796,0.26465,0.3192,0.0415,0.7337923999595057,0.6526016,0.7932584,-0.094924815,0.4948598218755076,2.0134127,Forest
0.1043,8.0E-4,0.1358,0.0459,0.0752,0.0641,0.0333,0.0655,0.215,0.2954,0.2777,0.3386,0.0425,0.7833025469932227,0.6816489,0.8209196,-0.090962775,0.5252322594993695,2.1185648,Forest
0.105,9.0E-4,0.1129,0.0381,0.073,0.0587,0.031,0.0561,0.1736,0.2489,0.2144,0.2762,0.0418,0.6701650721050361,0.6494476,0.79817706,-0.10028964,0.45564915424395186,1.923339,Forest
0.10545,9.0E-4,0.13995,0.0499,0.0753,0.064,0.03445,0.06415,0.2137,0.30135,0.28425,0.33235,0.04335,0.7643949410120356,0.6770531,0.81215924,-0.08891231,0.5155168314553961,2.1867187,Forest
0.10705,9.0E-4,0.14,0.05025,0.07925,0.06875,0.0377,0.06925,0.2075,0.283,0.2724,0.31505,0.04295,0.7322772328061994,0.6417405,0.7862509,-0.09855578,0.4878628011700596,2.0363636,Forest
0.11085,9.0E-4,0.146,0.05125,0.0799,0.0718,0.03985,0.07575,0.2255,0.30125,0.28565,0.34055,0.0442,0.7667788528454526,0.6517522,0.7904837,-0.09381882,0.5123239490927152,2.033426,Forest
0.1107,0.001,0.1348,0.0483,0.0788,0.0659,0.0388,0.0697,0.2093,0.279,0.2688,0.3188,0.043,0.7287112196982336,0.65739536,0.7829978,-0.08500626,0.4897388060673997,2.0455236,Forest
0.11075,9.0E-4,0.1351,0.0488,0.08,0.0682,0.038,0.06985,0.2001,0.27665,0.27705,0.3108,0.04525,0.7264592820925865,0.64010555,0.7821101,-0.0971686,0.48209235190558675,1.9809386,Forest
0.1094,9.0E-4,0.16185,0.0588,0.0799,0.07155,0.0393,0.0785,0.2547,0.3426,0.3253,0.3888,0.04745,0.8521480292104611,0.68914956,0.816398,-0.08294753,0.5648636986674029,2.2620547,Forest
0.1104,0.00105,0.14415,0.0504,0.07975,0.06995,0.03795,0.0742,0.2353,0.32635,0.3178,0.35645,0.04815,0.8075352876924954,0.6719043,0.8075558,-0.089774154,0.5341569637584315,2.0607576,Forest
